building_function,gebaeude_1,heat_factor,ghd,mfh
3073,Kaserne,1,1,0
3074,Schutzbunker,1,1,0
3075,Justizvollzugsanstalt,1,1,0
3080,Friedhofsgebäude,1,1,0
3081,Trauerhalle,1,1,0
3082,Krematorium,1,1,0
3090,Empfangsgebäude,1,1,0
3091,Bahnhofsgebäude,1,1,0
3092,Flughafengebäude,1,1,0
3094,Gebäude zum U-Bahnhof,1,1,0
3095,Gebäude zum S-Bahnhof,1,1,0
3097,Gebäude zum Busbahnhof,1,1,0
3100,Gebäude für öffentliche Zwecke mit Wohnen,1,1,0
3200,Gebäude für Erholungszwecke,1,1,0
3210,Gebäude für Sportzwecke,1,1,0
3211,"Sport-, Turnhalle",1,1,0
3212,Gebäude zum Sportplatz,1,1,0
3220,Badegebäude,1,1,0
3221,Hallenbad,1,1,0
3222,Gebäude im Freibad,1,1,0
3240,Gebäude für Kurbetrieb,1,1,0
3241,Badegebäude für medizinische Zwecke,1,1,0
3260,Gebäude im Zoo,1,1,0
3261,Empfangsgebäude des Zoos,1,1,0
3262,"Aquarium, Terrarium, Voliere",1,1,0
3263,Tierschauhaus,1,1,0
3264,Stall im Zoo,1,1,0
3270,Gebäude im botanischen Garten,1,1,0
3271,Empfangsgebäude des botanischen Gartens,1,1,0
3272,Gewächshaus (Botanik),1,1,0
3273,Pflanzenschauhaus,1,1,0
3281,Schutzhütte,0,0,0
9998,Nach Quellenlage nicht zu spezifizieren,1,1,0
